name,ensemble_rmse,dm_hac,p_hac,perseed_mean,perseed_std,rmse_low,rmse_normal,rmse_elevated,rmse_high
DropEdge GAT (full),0.11706160057906068,-3.2124619182434113,0.0013160259426292509,0.12573923898766384,0.004271661463742215,0.07890231859668272,0.1242742645920024,0.10827148310476303,0.1380193998220577
Dense GAT (42/42),0.1452312654829882,-1.1851759982132342,0.2359478677050304,0.1573451525820809,0.0019699836349566235,0.10830402891262357,0.15491537075801998,0.134579151293232,0.16214117359321825
Random graph (~16/42),0.14136258714709307,-1.383721274166099,0.16644381683333975,0.15320159330367747,0.0024674291776410413,0.10517867600663794,0.1489841490217915,0.13590557884394275,0.14658166876853107
Identity (self-loops),0.11879363221647041,-3.164886512846191,0.0015514345064844282,0.1266114836280344,0.003909736932447403,0.07676149089105194,0.12851126380325642,0.10942785668492894,0.13094130360420897
No Shapley/Myerson,0.15195159164874605,-0.4199214332179299,0.6745428496690087,0.15658651438517338,0.0014167622428112767,0.11698741091918954,0.1530084000418367,0.14662103335179846,0.18849025247646056
No regime gate,0.1198269885289953,-2.9948770213277074,0.002745555127018129,0.12764089713883112,0.0058835780509161615,0.08128210603459585,0.1276262797457722,0.11260488609620171,0.13190018336495204
