name,ensemble_rmse,dm_hac,p_hac,perseed_mean,perseed_std,rmse_low,rmse_normal,rmse_elevated,rmse_high
Learned GAT,0.11879363221647041,-3.164886512846191,0.0015514345064844282,0.1266114836280344,0.003909736932447403,0.07676149089105194,0.12851126380325642,0.10942785668492894,0.13094130360420897
Regime-Weighted GAT,0.12254928867340191,-3.002192668408922,0.0026804247130673975,0.12947711656244615,0.0031137950936814323,0.08159367656822239,0.13132466008470914,0.11288640314878873,0.14059360335707966
DropEdge GAT,0.11706160057906068,-3.2124619182434113,0.0013160259426292509,0.12573923898766384,0.004271661463742215,0.07890231859668272,0.1242742645920024,0.10827148310476303,0.1380193998220577
Enhanced Features GAT,0.11890872545414374,-3.171988280744233,0.0015139911646733228,0.1261529534368162,0.001168825407298707,0.07979384186558351,0.12621928281530378,0.11257250882734678,0.13002555178594866
MLP no-graph,0.1443975581563664,-1.2142585953391396,0.22464899126639404,0.15302832096538616,0.0013101542681632741,0.12802899903479287,0.15430272731267677,0.14010832679823748,0.11765408860066007
