seed,rmse,mae,dm_hac,p_hac,gate
42,0.1300832420151659,0.10394777232497054,-2.7318809094514194,0.0062973899246883125,0.4932793565247775
123,0.13151778717177617,0.10598662012944698,-2.4287769304074893,0.015149850288201705,0.49689664167386516
456,0.1256573530367235,0.09990779562918158,-3.153428047775144,0.0016136500246768382,0.5122179502751601
