model,n,RMSE,MAE
HistMean,1273,0.3164100409206112,0.1627993180732447
Ridge,1273,0.07251390554958771,0.0445573823791945
Lasso,1273,0.07156088242746018,0.028294261588969184
GBR,1273,0.09287712268083691,0.03838566771803075
RF,1273,0.179901128912582,0.059043034374149324
