name,ensemble_rmse,dm_hac,p_hac,perseed_mean,perseed_std,rmse_low,rmse_normal,rmse_elevated,rmse_high
DropEdge-LagShapley,0.1521250497067009,-0.4046007655650333,0.68577099572138,0.156778101398076,0.0009801546123844346,0.11683612910473326,0.1540048852743404,0.145997656628758,0.18819465299876817
Learned-LagShapley,0.15174306761561057,-0.45563185144689167,0.64865473486419,0.1566702404029297,0.001492406102220681,0.11667812936756439,0.1550378088067691,0.14526947909961752,0.182648450444707
MLP-LagShapley,0.14795717912692682,-0.8386607570778787,0.4016597057495539,0.15638486975978577,0.0018007586805587692,0.1277493084376849,0.15826706608936947,0.1440117971987369,0.11932298598133816
