model,ensemble_rmse,dm_hac_vs_har,p_hac_vs_har,perseed_mean,perseed_std
Learned GAT,0.11879363221647041,-3.164886512846191,0.0015514345064844282,0.1266114836280344,0.003909736932447403
MLP no-graph,0.1443975581563664,-1.2142585953391396,0.22464899126639404,0.15302832096538616,0.0013101542681632741
