source,target,early,late,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14
supply_opec,macro_demand,20.0,46.666666666666664,20.0,20.0,20.0,40.0,60.0,20.0,40.0,20.0,60.0,20.0,60.0,20.0,40.0,60.0,40.0
supply_opec,monetary,26.666666666666668,26.666666666666668,40.0,20.0,20.0,60.0,40.0,20.0,40.0,0.0,20.0,40.0,60.0,0.0,60.0,20.0,0.0
supply_opec,technical,46.666666666666664,40.0,40.0,60.0,40.0,40.0,20.0,40.0,0.0,60.0,20.0,40.0,20.0,40.0,60.0,40.0,20.0
supply_opec,sentiment,40.0,33.333333333333336,40.0,40.0,40.0,0.0,80.0,60.0,40.0,40.0,80.0,40.0,40.0,20.0,20.0,20.0,60.0
supply_opec,cross_market,33.333333333333336,26.666666666666668,20.0,20.0,60.0,0.0,40.0,40.0,40.0,60.0,40.0,20.0,60.0,40.0,40.0,20.0,20.0
technical,geopolitical,53.333333333333336,6.666666666666667,60.0,40.0,60.0,40.0,0.0,40.0,40.0,40.0,20.0,40.0,60.0,0.0,20.0,0.0,0.0
technical,macro_demand,20.0,33.333333333333336,20.0,20.0,20.0,40.0,20.0,0.0,40.0,20.0,40.0,40.0,20.0,60.0,40.0,40.0,20.0
technical,monetary,33.333333333333336,46.666666666666664,40.0,40.0,20.0,40.0,60.0,40.0,60.0,20.0,20.0,40.0,0.0,40.0,60.0,40.0,40.0
technical,supply_opec,20.0,13.333333333333334,20.0,20.0,20.0,60.0,60.0,40.0,40.0,20.0,0.0,60.0,40.0,40.0,0.0,0.0,40.0
technical,sentiment,26.666666666666668,13.333333333333334,40.0,20.0,20.0,20.0,20.0,80.0,20.0,40.0,60.0,40.0,60.0,60.0,20.0,0.0,20.0
technical,cross_market,40.0,33.333333333333336,60.0,40.0,20.0,40.0,40.0,0.0,60.0,40.0,40.0,40.0,0.0,20.0,60.0,0.0,40.0
sentiment,geopolitical,33.333333333333336,46.666666666666664,40.0,40.0,20.0,40.0,40.0,40.0,40.0,40.0,20.0,20.0,40.0,20.0,40.0,80.0,20.0
sentiment,macro_demand,20.0,60.0,20.0,40.0,0.0,0.0,60.0,40.0,20.0,40.0,20.0,40.0,40.0,40.0,60.0,40.0,80.0
sentiment,monetary,46.666666666666664,13.333333333333334,60.0,20.0,60.0,20.0,40.0,60.0,20.0,20.0,40.0,20.0,20.0,40.0,0.0,20.0,20.0
sentiment,supply_opec,60.0,20.0,100.0,20.0,60.0,40.0,60.0,0.0,40.0,40.0,60.0,60.0,20.0,20.0,0.0,40.0,20.0
sentiment,technical,26.666666666666668,26.666666666666668,20.0,20.0,40.0,40.0,40.0,60.0,40.0,20.0,40.0,20.0,20.0,80.0,20.0,20.0,40.0
sentiment,cross_market,40.0,33.333333333333336,40.0,40.0,40.0,40.0,20.0,20.0,40.0,40.0,40.0,100.0,20.0,60.0,20.0,20.0,60.0
cross_market,geopolitical,13.333333333333334,33.333333333333336,20.0,20.0,0.0,20.0,80.0,20.0,20.0,0.0,40.0,40.0,0.0,40.0,20.0,60.0,20.0
cross_market,macro_demand,26.666666666666668,26.666666666666668,40.0,20.0,20.0,20.0,60.0,80.0,20.0,40.0,60.0,40.0,60.0,40.0,20.0,40.0,20.0
cross_market,monetary,40.0,26.666666666666668,20.0,40.0,60.0,40.0,40.0,40.0,60.0,60.0,40.0,40.0,20.0,0.0,20.0,60.0,0.0
cross_market,supply_opec,53.333333333333336,53.333333333333336,40.0,40.0,80.0,0.0,20.0,40.0,20.0,20.0,40.0,40.0,60.0,40.0,80.0,40.0,40.0
cross_market,technical,13.333333333333334,53.333333333333336,40.0,0.0,0.0,20.0,40.0,60.0,20.0,60.0,20.0,20.0,20.0,40.0,60.0,60.0,40.0
cross_market,sentiment,40.0,46.666666666666664,40.0,40.0,40.0,20.0,40.0,40.0,40.0,40.0,20.0,60.0,40.0,60.0,60.0,20.0,60.0
