model,rmse,dm_hac,p_hac
Ridge-debate_only,0.14570630042271748,-3.2776208454847415,0.0010468590892471763
Ridge-cross_agent,0.14712750677607975,-2.947301244025771,0.0032056075136457363
Ridge-full_peragent,0.14897347054497173,-2.597406109219974,0.009393079594083753
T2-GAT,0.1504018417814134,-2.213881139435361,0.0268369564899702
T1-GAT,0.1505212985029612,-2.157643933842847,0.03095552611978447
T2-MLP,0.156144500330441,-0.8821694323679324,0.37768518945263096
T1-MLP,0.15684453644207497,-0.7792930922756403,0.4358070828699827
