seed,rmse,dm_hac,p_hac,gat_weight
42,0.13227198001279847,-2.1309997292945777,0.03308916448472887,0.4766551021697423
123,0.13692507043578145,-1.7620101758790276,0.07806757821453769,0.45675003480399234
456,0.13730182225429835,-1.8570619646176743,0.063302338771279,0.4627009845736836
789,0.14131593296051398,-1.4125464951471398,0.1577891105436915,0.4532757313931603
1024,0.13343198790128666,-1.995538741229039,0.045984153185719245,0.4653306359929317
