seed,rmse,mae,dm_hac,p_hac,gate,edges
42,0.12378054098330986,0.09347797442088544,-2.6764962618146693,0.007439639569288614,0.49547690297227825,15.5625
123,0.12839055046054643,0.09558291577538931,-2.4974494821817754,0.012509028706626069,0.4905605312176202,15.0
456,0.132198609776247,0.09853913349711609,-2.176128990550373,0.029545616717396417,0.5037745067489491,15.3125
789,0.13786560033323525,0.10316981676569213,-1.512263907597513,0.1304667389096721,0.49953881218845464,16.875
1024,0.1274760964762007,0.09584035061048307,-2.169502885230508,0.030044525551767176,0.49490641517403683,16.5
