date,n_events_total,n_events_oil,oil_goldstein_mean,oil_goldstein_std,oil_tone_mean,oil_tone_std,oil_mentions_sum,oil_articles_sum,oil_verbal_coop,oil_material_coop,oil_verbal_conflict,oil_material_conflict,oil_n_conflict_events,oil_conflict_goldstein,oil_conflict_share,oil_material_conflict_share,oil_net_coop,global_goldstein_mean,global_tone_mean
2013-04-01,27758,11019,0.5193211725201924,4.888359526493764,2.3042375770970986,1.548579947155283,83017,81800,6713,1403,1250,1653,1594,-8.33525721455458,0.263454033941374,0.15001361285053091,0.47309193211725203,0.28533035521291156,2.1895594347851106
2013-04-02,35363,13439,0.7709502195103802,4.668148804220922,2.275764894935957,1.4723442408893652,99632,98387,8253,1766,1611,1809,1714,-7.922520420070012,0.2544832204777141,0.13460822977900141,0.49103355904457174,0.41759748890082854,2.1488195079822257
2013-04-03,41602,15161,0.9902447068135347,4.652022761965541,2.2056112629996583,1.49283795335754,106517,105322,9529,2000,1684,1948,1828,-7.865536105032822,0.2395620341666117,0.12848756678319373,0.5208759316667766,0.42735336538461544,2.0517867972229142
2013-04-04,39650,14926,0.8959123500636602,4.664941885392162,2.139289314993203,1.4385470077776172,110837,109305,9437,1867,1671,1951,1947,-7.6642013353877765,0.24266380812005897,0.1307115101165751,0.5146723837598821,0.4238969753538004,2.066726249508258
2013-04-05,37680,14758,0.8948966452050153,4.7307708544893945,2.192062396942282,1.399319567557659,114349,112871,9429,1686,1625,2018,1904,-7.885766806722689,0.24684916655373357,0.1367393955820572,0.5063016668925329,0.4774656115566414,2.1132160582718003
2013-04-06,22691,9035,0.9203697553415257,4.785915127741436,2.1507551748247424,1.4760449585956836,70432,69317,6044,914,830,1247,1173,-8.301023017902814,0.22988378527946873,0.13801881571665744,0.5402324294410625,0.2960906165983516,2.0773634788709376
2013-04-07,26598,8899,0.7972122302158273,4.955288461790228,2.3706890098618123,1.465140922241264,63821,63323,5735,972,928,1264,1189,-8.712699747687132,0.24631981121474322,0.14203843128441399,0.5073603775705136,0.3394878351445869,2.234645190093368
2013-04-08,38770,13170,0.9006529992406986,4.670009677218506,2.4194946008759066,1.5223212897630551,93351,92303,8521,1531,1414,1704,1680,-8.048690476190476,0.23675018982536067,0.12938496583143508,0.5264996203492787,0.6079728649178467,2.342666299657287
2013-04-09,41762,14957,0.7564656325220648,4.641821464080907,2.2089270447027958,1.4156381713123924,111414,109867,9517,1757,1695,1988,1798,-8.092213570634037,0.24623921909473825,0.13291435448285083,0.5075215618105235,0.4379544039465491,2.1931060989462643
2013-04-10,42592,15864,0.9139561270801817,4.651447334901844,2.212695807988091,1.4231920914347946,113725,112261,9993,2066,1728,2077,1957,-7.828002043944815,0.23985123550176501,0.13092536560766516,0.52029752899647,0.6152151964122191,2.162749681792488
